Date,Open,High,Low,Close,Adj Close,Volume
2013/11/28,51.25,51.25,51.25,51.25,51.25,41000
2013/12/2,55.1,55.1,55.1,55.1,55.1,16530
2013/12/5,50.2,50.2,50.2,50.2,50.2,5020
2013/12/6,50,50,50,50,50,5000
2013/12/11,50.5,50.5,50.5,50.5,50.5,5050
2013/12/17,51,51,51,51,51,5100
2013/12/19,55,55,55,55,55,5500
2013/12/24,50,50,50,50,50,50000
2014/1/7,50,50,50,50,50,25000
2014/1/8,50.75,50.75,50.75,50.75,50.75,20300
2014/1/9,50.65,50.65,50.65,50.65,50.65,10130
2014/1/10,50.8,50.8,50.8,50.8,50.8,5080
2014/1/13,50,50,50,50,50,25000
2014/1/14,53,53,53,53,53,10600
2014/1/16,50.1,50.1,50.1,50.1,50.1,10020
2014/1/17,50.1,50.1,50.1,50.1,50.1,10020
2014/1/20,50.1,50.1,50.1,50.1,50.1,10020
2014/1/21,50,50,50,50,50,10000
2014/1/22,50.2,50.2,50.2,50.2,50.2,5020
2014/1/28,50.5,50.5,50.5,50.5,50.5,5050
2014/1/29,51,51,51,51,51,5100
2014/1/30,50.8,50.8,50.8,50.8,50.8,5080
2014/2/11,51,51,51,51,51,15300
2014/2/12,51,51,51,51,51,20400
2014/2/13,51.8,51.8,51.8,51.8,51.8,25900
2014/2/14,51.1,51.1,51.1,51.1,51.1,25550
2014/2/18,51.4,51.4,51.4,51.4,51.4,35990
2014/2/19,51.7,51.7,51.7,51.7,51.7,18095
2014/2/20,51.75,51.75,51.75,51.75,51.75,33640
2014/2/21,51.81,51.81,51.81,51.81,51.81,44035
2014/2/24,52.14,52.14,52.14,52.14,52.14,26070
2014/2/25,52.04,52.04,52.04,52.04,52.04,52040
2014/2/26,52.41,52.41,52.41,52.41,52.41,52410
2014/2/27,51.78,51.78,51.78,51.78,51.78,67320
2014/2/28,52.82,52.82,52.82,52.82,52.82,63380
2014/3/3,52.56,52.56,52.56,52.56,52.56,60440
2014/3/4,52.63,52.63,52.63,52.63,52.63,73680
2014/3/5,53.07,53.07,53.07,53.07,53.07,122050
2014/3/6,55.2,55.2,55.2,55.2,55.2,38640
2014/3/7,55.18,55.18,55.18,55.18,55.18,49660
2014/3/10,54.16,54.16,54.16,54.16,54.16,92080
2014/3/11,54.56,54.56,54.56,54.56,54.56,120040
2014/3/12,55.96,55.96,55.96,55.96,55.96,50360
2014/3/13,55.76,55.76,55.76,55.76,55.76,61340
2014/3/14,54,54,54,54,54,27000
2014/3/17,56.17,56.17,56.17,56.17,56.17,56170
2014/3/18,56.48,56.48,56.48,56.48,56.48,56480
2014/3/19,56.31,56.31,56.31,56.31,56.31,50680
2014/3/20,56.39,56.39,56.39,56.39,56.39,67670
2014/3/21,54.97,54.97,54.97,54.97,54.97,60470
2014/3/25,56.95,56.95,56.95,56.95,56.95,34170
2014/3/26,56.51,56.51,56.51,56.51,56.51,56510
2014/3/27,56.85,56.85,56.85,56.85,56.85,45480
2014/3/28,56.86,56.86,56.86,56.86,56.86,56860
2014/4/1,52.38,52.38,52.38,52.38,52.38,62850
2014/4/2,57,57,57,57,57,39900
2014/4/3,53.39,53.39,53.39,53.39,53.39,74750
2014/4/4,57.18,57.18,57.18,57.18,57.18,57180
2014/4/8,57.02,57.02,57.02,57.02,57.02,51320
2014/4/9,53.15,53.15,53.15,53.15,53.15,63780
2014/4/10,57,57,57,57,57,62700
2014/4/11,57.26,57.26,57.26,57.26,57.26,51530
2014/4/14,57.29,57.29,57.29,57.29,57.29,57290
2014/4/15,57,57,57,57,57,5700
2014/4/16,53.51,53.51,53.51,53.51,53.51,48160
2014/4/17,55.38,55.38,55.38,55.38,55.38,44300
2014/4/18,52,52,52,52,52,208000
2014/4/21,53,53,53,53,53,21200
2014/4/22,54,54,54,54,54,32400
2014/4/23,53.5,53.5,53.5,53.5,53.5,32100
2014/4/24,54,54,54,54,54,32400
2014/4/25,53.64,53.64,53.64,53.64,53.64,59000
2014/4/28,53,53,53,53,53,37100
2014/4/29,53.48,53.48,53.48,53.48,53.48,117650
2014/4/30,53.15,53.15,53.15,53.15,53.15,63780
2014/5/5,53.32,53.32,53.32,53.32,53.32,90640
2014/5/6,52.83,52.83,52.83,52.83,52.83,64450
2014/5/7,52.56,52.56,52.56,52.56,52.56,226000
