Date,Open,High,Low,Close,Adj Close,Volume,Open_1,High_1,Low_1,Close_1,Adj Close_1,Volume_1,Year,Month,Weekday,Open_rolling_mean,High_rolling_mean,Low_rolling_mean,Close_rolling_mean,Adj Close_rolling_mean,Volume_rolling_mean
2013-11-28,51.25,51.25,51.25,51.25,51.25,41000.0,,,,,,,2013,11,3,,,,,,
2013-12-02,55.1,55.1,55.1,55.1,55.1,16530.0,51.25,51.25,51.25,51.25,51.25,41000.0,2013,12,0,,,,,,
2013-12-05,50.2,50.2,50.2,50.2,50.2,5020.0,55.1,55.1,55.1,55.1,55.1,16530.0,2013,12,3,,,,,,
2013-12-06,50.0,50.0,50.0,50.0,50.0,5000.0,50.2,50.2,50.2,50.2,50.2,5020.0,2013,12,4,,,,,,
2013-12-11,50.5,50.5,50.5,50.5,50.5,5050.0,50.0,50.0,50.0,50.0,50.0,5000.0,2013,12,2,51.410000000000004,51.410000000000004,51.410000000000004,51.410000000000004,51.410000000000004,14520.0
2013-12-17,51.0,51.0,51.0,51.0,51.0,5100.0,50.5,50.5,50.5,50.5,50.5,5050.0,2013,12,1,51.36,51.36,51.36,51.36,51.36,7340.0
2013-12-19,55.0,55.0,55.0,55.0,55.0,5500.0,51.0,51.0,51.0,51.0,51.0,5100.0,2013,12,3,51.339999999999996,51.339999999999996,51.339999999999996,51.339999999999996,51.339999999999996,5134.0
2013-12-24,50.0,50.0,50.0,50.0,50.0,50000.0,55.0,55.0,55.0,55.0,55.0,5500.0,2013,12,1,51.3,51.3,51.3,51.3,51.3,14130.0
2014-01-07,50.0,50.0,50.0,50.0,50.0,25000.0,50.0,50.0,50.0,50.0,50.0,50000.0,2014,1,1,51.3,51.3,51.3,51.3,51.3,18130.0
2014-01-08,50.75,50.75,50.75,50.75,50.75,20300.0,50.0,50.0,50.0,50.0,50.0,25000.0,2014,1,2,51.35,51.35,51.35,51.35,51.35,21180.0
2014-01-09,50.65,50.65,50.65,50.65,50.65,10130.0,50.75,50.75,50.75,50.75,50.75,20300.0,2014,1,3,51.279999999999994,51.279999999999994,51.279999999999994,51.279999999999994,51.279999999999994,22186.0
2014-01-10,50.8,50.8,50.8,50.8,50.8,5080.0,50.65,50.65,50.65,50.65,50.65,10130.0,2014,1,4,50.44,50.44,50.44,50.44,50.44,22102.0
2014-01-13,50.0,50.0,50.0,50.0,50.0,25000.0,50.8,50.8,50.8,50.8,50.8,5080.0,2014,1,0,50.44,50.44,50.44,50.44,50.44,17102.0
2014-01-14,53.0,53.0,53.0,53.0,53.0,10600.0,50.0,50.0,50.0,50.0,50.0,25000.0,2014,1,1,51.04,51.04,51.04,51.04,51.04,14222.0
2014-01-16,50.1,50.1,50.1,50.1,50.1,10020.0,53.0,53.0,53.0,53.0,53.0,10600.0,2014,1,3,50.91,50.91,50.91,50.91,50.91,12166.0
2014-01-17,50.1,50.1,50.1,50.1,50.1,10020.0,50.1,50.1,50.1,50.1,50.1,10020.0,2014,1,4,50.8,50.8,50.8,50.8,50.8,12144.0
2014-01-20,50.1,50.1,50.1,50.1,50.1,10020.0,50.1,50.1,50.1,50.1,50.1,10020.0,2014,1,0,50.660000000000004,50.660000000000004,50.660000000000004,50.660000000000004,50.660000000000004,13132.0
2014-01-21,50.0,50.0,50.0,50.0,50.0,10000.0,50.1,50.1,50.1,50.1,50.1,10020.0,2014,1,1,50.660000000000004,50.660000000000004,50.660000000000004,50.660000000000004,50.660000000000004,10132.0
2014-01-22,50.2,50.2,50.2,50.2,50.2,5020.0,50.0,50.0,50.0,50.0,50.0,10000.0,2014,1,2,50.1,50.1,50.1,50.1,50.1,9016.0
2014-01-28,50.5,50.5,50.5,50.5,50.5,5050.0,50.2,50.2,50.2,50.2,50.2,5020.0,2014,1,1,50.18,50.18,50.18,50.18,50.18,8022.0
2014-01-29,51.0,51.0,51.0,51.0,51.0,5100.0,50.5,50.5,50.5,50.5,50.5,5050.0,2014,1,2,50.36,50.36,50.36,50.36,50.36,7038.0
2014-01-30,50.8,50.8,50.8,50.8,50.8,5080.0,51.0,51.0,51.0,51.0,51.0,5100.0,2014,1,3,50.5,50.5,50.5,50.5,50.5,6050.0
2014-02-11,51.0,51.0,51.0,51.0,51.0,15300.0,50.8,50.8,50.8,50.8,50.8,5080.0,2014,2,1,50.7,50.7,50.7,50.7,50.7,7110.0
2014-02-12,51.0,51.0,51.0,51.0,51.0,20400.0,51.0,51.0,51.0,51.0,51.0,15300.0,2014,2,2,50.86,50.86,50.86,50.86,50.86,10186.0
2014-02-13,51.8,51.8,51.8,51.8,51.8,25900.0,51.0,51.0,51.0,51.0,51.0,20400.0,2014,2,3,51.12,51.12,51.12,51.12,51.12,14356.0
2014-02-14,51.1,51.1,51.1,51.1,51.1,25550.0,51.8,51.8,51.8,51.8,51.8,25900.0,2014,2,4,51.14,51.14,51.14,51.14,51.14,18446.0
2014-02-18,51.4,51.4,51.4,51.4,51.4,35990.0,51.1,51.1,51.1,51.1,51.1,25550.0,2014,2,1,51.260000000000005,51.260000000000005,51.260000000000005,51.260000000000005,51.260000000000005,24628.0
2014-02-19,51.7,51.7,51.7,51.7,51.7,18095.0,51.4,51.4,51.4,51.4,51.4,35990.0,2014,2,2,51.4,51.4,51.4,51.4,51.4,25187.0
2014-02-20,51.75,51.75,51.75,51.75,51.75,33640.0,51.7,51.7,51.7,51.7,51.7,18095.0,2014,2,3,51.55,51.55,51.55,51.55,51.55,27835.0
2014-02-21,51.81,51.81,51.81,51.81,51.81,44035.0,51.75,51.75,51.75,51.75,51.75,33640.0,2014,2,4,51.552,51.552,51.552,51.552,51.552,31462.0
2014-02-24,52.14,52.14,52.14,52.14,52.14,26070.0,51.81,51.81,51.81,51.81,51.81,44035.0,2014,2,0,51.760000000000005,51.760000000000005,51.760000000000005,51.760000000000005,51.760000000000005,31566.0
2014-02-25,52.04,52.04,52.04,52.04,52.04,52040.0,52.14,52.14,52.14,52.14,52.14,26070.0,2014,2,1,51.888,51.888,51.888,51.888,51.888,34776.0
2014-02-26,52.41,52.41,52.41,52.41,52.41,52410.0,52.04,52.04,52.04,52.04,52.04,52040.0,2014,2,2,52.029999999999994,52.029999999999994,52.029999999999994,52.029999999999994,52.029999999999994,41639.0
2014-02-27,51.78,51.78,51.78,51.78,51.78,67320.0,52.41,52.41,52.41,52.41,52.41,52410.0,2014,2,3,52.036,52.036,52.036,52.036,52.036,48375.0
2014-02-28,52.82,52.82,52.82,52.82,52.82,63380.0,51.78,51.78,51.78,51.78,51.78,67320.0,2014,2,4,52.238,52.238,52.238,52.238,52.238,52244.0
2014-03-03,52.56,52.56,52.56,52.56,52.56,60440.0,52.82,52.82,52.82,52.82,52.82,63380.0,2014,3,0,52.322,52.322,52.322,52.322,52.322,59118.0
