Date,Open,High,Low,Close,Adj Close,Volume,reward
2014-04-02,21.0,22.0,21.0,22.0,21.0,10710400.0,1.0
2014-04-03,24.2,24.2,24.2,24.2,24.2,1245530.0,1.0
2014-04-04,26.62,26.62,26.62,26.62,26.62,8092670.0,0.5
2014-04-08,29.25,29.25,29.25,29.25,29.25,2976900.0,0.16666666666666666
2014-04-09,25.03,27.0,25.03,27.0,25.03,1941890.0,0.16666666666666666
2014-04-10,24.5,26.0,24.5,26.0,24.5,1606700.0,0.3333333333333333
2014-04-11,24.0,24.89,24.0,24.89,24.0,2803660.0,0.8333333333333334
2014-04-14,24.5,24.51,24.5,24.51,24.5,1427740.0,1.0
2014-04-15,25.3,26.1,25.3,26.1,25.3,1600130.0,0.16666666666666666
2014-04-16,25.2,25.7,25.2,25.7,25.2,1912900.0,0.25
2014-04-17,25.5,25.7,25.5,25.7,25.5,2457820.0,0.16666666666666666
2014-04-18,25.2,25.2,25.2,25.2,25.2,1944260.0,0.3333333333333333
2014-04-21,25.08,25.4,25.08,25.4,25.08,2481980.0,0.16666666666666666
2014-04-22,24.6,24.85,24.6,24.85,24.6,2882400.0,0.3333333333333333
2014-04-23,24.6,24.6,24.6,24.6,24.6,1609730.0,0.3333333333333333
2014-04-24,24.0,24.55,24.0,24.55,24.0,1183300.0,0.3333333333333333
2014-04-25,24.3,24.5,24.3,24.5,24.3,1344410.0,0.4166666666666667
2014-04-28,25.0,25.0,25.0,25.0,25.0,1404900.0,0.16666666666666666
2014-04-29,23.99,24.5,23.99,24.5,23.99,1527790.0,0.16666666666666666
2014-04-30,24.45,24.45,24.45,24.45,24.45,2034940.0,0.16666666666666666
2014-05-05,24.0,24.36,24.0,24.36,24.0,1228300.0,0.16666666666666666
2014-05-06,23.99,24.1,23.99,24.1,23.99,1012620.0,0.3333333333333333
2014-05-07,23.96,23.96,23.96,23.96,23.96,1032290.0,0.5
2014-05-08,23.85,24.0,23.85,24.0,23.85,1079320.0,0.5
2014-05-09,23.73,23.76,23.73,23.76,23.73,915799.0,0.8333333333333334
2014-05-12,23.71,23.71,23.71,23.71,23.71,847552.0,1.0
2014-05-13,23.51,24.17,23.51,24.17,23.51,1652710.0,0.8333333333333334
2014-05-14,23.53,23.9,23.53,23.9,23.53,1787700.0,1.0
2014-05-15,23.76,24.3,23.76,24.3,23.76,1118140.0,0.6666666666666666
2014-05-16,25.0,25.0,25.0,25.0,25.0,1006100.0,0.3333333333333333
2014-05-19,24.3,36.0,24.3,36.0,24.3,1095170.0,0.16666666666666666
2014-05-20,24.21,24.21,24.21,24.21,24.21,871286.0,0.6666666666666666
2014-05-21,24.24,24.24,24.24,24.24,24.24,1168390.0,0.5
2014-05-22,24.0,24.65,24.0,24.65,24.0,949944.0,0.16666666666666666
2014-05-23,24.0,24.0,24.0,24.0,24.0,1051270.0,0.8333333333333334
2014-05-25,24.0,24.0,24.0,24.0,24.0,1051270.0,0.9166666666666666
2014-05-26,24.3,24.3,24.3,24.3,24.3,1267470.0,0.16666666666666666
2014-05-27,23.85,24.1,23.85,24.1,23.85,1008860.0,0.5
2014-05-28,23.75,24.0,23.75,24.0,23.75,939924.0,0.75
2014-05-29,23.83,24.23,23.83,24.23,23.83,1168710.0,0.3333333333333333
2014-05-30,24.0,24.01,24.0,24.01,24.0,1014490.0,0.3333333333333333
2014-06-03,23.91,24.0,23.91,24.0,23.91,930709.0,0.3333333333333333
2014-06-04,23.9,24.5,23.9,24.5,23.9,966504.0,0.16666666666666666
2014-06-05,23.98,23.98,23.98,23.98,23.98,902551.0,0.16666666666666666
2014-06-06,23.4,23.9,23.4,23.9,23.4,1104260.0,0.3333333333333333
2014-06-09,23.65,23.95,23.65,23.95,23.65,949125.0,0.3333333333333333
2014-06-10,23.8,23.8,23.8,23.8,23.8,1208900.0,0.5
2014-06-11,23.6,23.8,23.6,23.8,23.6,1641760.0,0.4166666666666667
2014-06-12,23.75,23.8,23.75,23.8,23.75,992439.0,0.3333333333333333
2014-06-13,23.75,23.7,23.75,23.7,23.75,992721.0,0.3333333333333333
2014-06-16,24.0,24.0,24.0,24.0,24.0,989599.0,0.16666666666666666
2014-06-17,23.0,23.0,23.0,23.0,23.0,1264090.0,0.75
2014-06-18,22.01,23.0,22.01,23.0,22.01,989034.0,0.8333333333333334
2014-06-19,23.0,23.25,23.0,23.25,23.0,1125830.0,0.6666666666666666
2014-06-20,22.96,23.0,22.96,23.0,22.96,808088.0,0.8333333333333334
2014-06-23,22.92,23.0,22.92,23.0,22.92,1198840.0,0.9166666666666666
2014-06-24,23.45,23.45,23.45,23.45,23.45,865396.0,0.6666666666666666
2014-06-25,25.16,25.16,25.16,25.16,25.16,954992.0,0.16666666666666666
2014-06-26,21.0,23.48,21.0,23.48,21.0,1136790.0,0.6666666666666666
2014-06-27,23.0,23.0,23.0,23.0,23.0,953669.0,0.8333333333333334
2014-06-30,24.4,24.4,24.4,24.4,24.4,1420090.0,0.16666666666666666
2014-07-01,22.85,22.88,22.85,22.88,22.85,774384.0,1.0
