Date,Open,High,Low,Close,Adj Close,Volume,reward
2013/11/28,51.25,51.25,51.25,51.25,51.25,41000.0,0.3333333333333333
2013/12/2,55.1,55.1,55.1,55.1,55.1,16530.0,0.16666666666666666
2013/12/5,50.2,50.2,50.2,50.2,50.2,5020.0,0.6666666666666666
2013/12/6,50.0,50.0,50.0,50.0,50.0,5000.0,0.8333333333333334
2013/12/11,50.5,50.5,50.5,50.5,50.5,5050.0,0.6666666666666666
2013/12/17,51.0,51.0,51.0,51.0,51.0,5100.0,0.3333333333333333
2013/12/19,55.0,55.0,55.0,55.0,55.0,5500.0,0.16666666666666666
2013/12/24,50.0,50.0,50.0,50.0,50.0,50000.0,0.8333333333333334
2014/1/7,50.0,50.0,50.0,50.0,50.0,25000.0,0.9166666666666666
2014/1/8,50.75,50.75,50.75,50.75,50.75,20300.0,0.5
2014/1/9,50.65,50.65,50.65,50.65,50.65,10130.0,0.5
2014/1/10,50.8,50.8,50.8,50.8,50.8,5080.0,0.3333333333333333
2014/1/13,50.0,50.0,50.0,50.0,50.0,25000.0,0.9166666666666666
2014/1/14,53.0,53.0,53.0,53.0,53.0,10600.0,0.16666666666666666
2014/1/16,50.1,50.1,50.1,50.1,50.1,10020.0,0.6666666666666666
2014/1/17,50.1,50.1,50.1,50.1,50.1,10020.0,0.75
2014/1/20,50.1,50.1,50.1,50.1,50.1,10020.0,0.8333333333333334
2014/1/21,50.0,50.0,50.0,50.0,50.0,10000.0,1.0
2014/1/22,50.2,50.2,50.2,50.2,50.2,5020.0,1.0
2014/1/28,50.5,50.5,50.5,50.5,50.5,5050.0,1.0
2014/1/29,51.0,51.0,51.0,51.0,51.0,5100.0,0.6666666666666666
2014/1/30,50.8,50.8,50.8,50.8,50.8,5080.0,1.0
2014/2/11,51.0,51.0,51.0,51.0,51.0,15300.0,0.9166666666666666
2014/2/12,51.0,51.0,51.0,51.0,51.0,20400.0,1.0
2014/2/13,51.8,51.8,51.8,51.8,51.8,25900.0,0.3333333333333333
2014/2/14,51.1,51.1,51.1,51.1,51.1,25550.0,1.0
2014/2/18,51.4,51.4,51.4,51.4,51.4,35990.0,1.0
2014/2/19,51.7,51.7,51.7,51.7,51.7,18095.0,1.0
2014/2/20,51.75,51.75,51.75,51.75,51.75,33640.0,1.0
2014/2/21,51.81,51.81,51.81,51.81,51.81,44035.0,0.8333333333333334
2014/2/24,52.14,52.14,52.14,52.14,52.14,26070.0,0.6666666666666666
2014/2/25,52.04,52.04,52.04,52.04,52.04,52040.0,0.8333333333333334
2014/2/26,52.41,52.41,52.41,52.41,52.41,52410.0,0.8333333333333334
2014/2/27,51.78,51.78,51.78,51.78,51.78,67320.0,1.0
2014/2/28,52.82,52.82,52.82,52.82,52.82,63380.0,0.6666666666666666
2014/3/3,52.56,52.56,52.56,52.56,52.56,60440.0,1.0
2014/3/4,52.63,52.63,52.63,52.63,52.63,73680.0,1.0
2014/3/5,53.07,53.07,53.07,53.07,53.07,122050.0,1.0
2014/3/6,55.2,55.2,55.2,55.2,55.2,38640.0,0.5
2014/3/7,55.18,55.18,55.18,55.18,55.18,49660.0,0.5
2014/3/10,54.16,54.16,54.16,54.16,54.16,92080.0,0.8333333333333334
2014/3/11,54.56,54.56,54.56,54.56,54.56,120040.0,0.8333333333333334
2014/3/12,55.96,55.96,55.96,55.96,55.96,50360.0,0.6666666666666666
2014/3/13,55.76,55.76,55.76,55.76,55.76,61340.0,0.8333333333333334
2014/3/14,54.0,54.0,54.0,54.0,54.0,27000.0,1.0
2014/3/17,56.17,56.17,56.17,56.17,56.17,56170.0,0.8333333333333334
2014/3/18,56.48,56.48,56.48,56.48,56.48,56480.0,0.5
2014/3/19,56.31,56.31,56.31,56.31,56.31,50680.0,0.8333333333333334
