Date,Open,High,Low,Close,Adj Close,Volume,reward
2014-08-06,53.0,53.0,53.0,53.0,53.0,5300.0,0.8333333333333334
2014-08-07,58.0,58.0,58.0,58.0,58.0,3536.68,0.5
2014-08-08,51.01,51.01,51.01,51.01,51.01,2186.01,1.0
2014-08-11,54.9,54.9,54.9,54.9,54.9,3359.58,0.8333333333333334
2014-08-12,61.5,61.5,61.5,61.5,61.5,86574.5,0.3333333333333333
2014-08-13,65.0,65.0,65.0,65.0,65.0,71647.5,0.16666666666666666
2014-08-14,54.01,54.01,54.01,54.01,54.01,57579.9,0.5
2014-08-15,59.78,59.78,59.78,59.78,59.78,48167.6,0.16666666666666666
2014-08-18,55.01,55.01,55.01,55.01,55.01,3320.1,0.3333333333333333
2014-08-19,53.1,53.1,53.1,53.1,53.1,5310.0,0.6666666666666666
2014-08-20,53.68,53.68,53.68,53.68,53.68,65038.6,0.6666666666666666
2014-08-21,52.79,52.79,52.79,52.79,52.79,374930.0,1.0
2014-08-22,55.96,55.96,55.96,55.96,55.96,41330.8,0.3333333333333333
2014-08-25,55.0,55.0,55.0,55.0,55.0,71576.6,0.5833333333333334
2014-08-26,52.97,52.97,52.97,52.97,52.97,103913.0,0.8333333333333334
2014-08-27,59.99,59.99,59.99,59.99,59.99,63111.3,0.5
2014-08-28,55.0,55.0,55.0,55.0,55.0,1231.88,0.6666666666666666
2014-08-29,50.0,50.0,50.0,50.0,50.0,42521.2,1.0
2014-09-01,61.0,61.0,61.0,61.0,61.0,51868.4,0.3333333333333333
2014-09-02,53.0,53.0,53.0,53.0,53.0,74982.6,0.5
2014-09-03,64.12,64.12,64.12,64.12,64.12,4600.24,0.16666666666666666
2014-09-05,57.71,57.71,57.71,57.71,57.71,900058.0,0.16666666666666666
2014-09-10,52.0,52.0,52.0,52.0,52.0,5200.0,0.16666666666666666
2014-09-11,47.0,47.0,47.0,47.0,47.0,28500.0,0.75
2014-09-12,47.99,47.99,47.99,47.99,47.99,30371.8,0.5833333333333334
2014-09-15,50.0,50.0,50.0,50.0,50.0,33562.0,0.16666666666666666
2014-09-16,47.0,47.0,47.0,47.0,47.0,23434.0,0.75
2014-09-17,46.0,46.0,46.0,46.0,46.0,151714.0,0.8333333333333334
2014-09-18,47.99,47.99,47.99,47.99,47.99,16932.5,0.3333333333333333
2014-09-19,48.0,48.0,48.0,48.0,48.0,28752.0,0.16666666666666666
2014-09-22,47.0,47.0,47.0,47.0,47.0,67104.8,0.5
2014-09-23,47.89,47.89,47.89,47.89,47.89,60457.3,0.5
2014-09-24,45.0,45.0,45.0,45.0,45.0,12490.0,0.75
2014-09-25,44.0,44.0,44.0,44.0,44.0,6875.0,1.0
2014-09-26,45.0,45.0,45.0,45.0,45.0,23878.9,0.6666666666666666
2014-10-09,49.01,49.01,49.01,49.01,49.01,9861.9,0.3333333333333333
2014-10-10,53.91,53.91,53.91,53.91,53.91,231813.0,0.16666666666666666
2014-10-13,48.52,48.52,48.52,48.52,48.52,30567.6,0.16666666666666666
2014-10-14,44.5,44.5,44.5,44.5,44.5,77324.6,0.3333333333333333
2014-10-15,41.0,41.0,41.0,41.0,41.0,107135.0,1.0
2014-10-16,43.24,43.24,43.24,43.24,43.24,998.08,0.5833333333333334
2014-10-17,43.24,43.24,43.24,43.24,43.24,37278.5,0.6666666666666666
2014-10-20,42.8,42.8,42.8,42.8,42.8,10752.3,0.8333333333333334
2014-10-21,47.09,47.09,47.09,47.09,47.09,19354.4,0.3333333333333333
2014-10-22,42.38,42.38,42.38,42.38,42.38,352635.0,0.8333333333333334
2014-10-23,46.64,46.64,46.64,46.64,46.64,233.2,0.3333333333333333
2014-10-24,51.0,51.0,51.0,51.0,51.0,45232.9,0.16666666666666666
2014-10-27,44.0,44.0,44.0,44.0,44.0,5791.82,0.3333333333333333
2014-10-28,46.07,46.07,46.07,46.07,46.07,9293.82,0.16666666666666666
2014-10-29,36.0,36.0,36.0,36.0,36.0,32518.5,0.6666666666666666
2014-10-30,39.0,39.0,39.0,39.0,39.0,121774.0,0.5
2014-10-31,30.0,30.0,30.0,30.0,30.0,649000.0,1.0
2014-11-03,32.0,32.0,32.0,32.0,32.0,48516.0,1.0
2014-11-04,36.3,36.3,36.3,36.3,36.3,145.2,1.0
2014-11-05,39.93,39.93,39.93,39.93,39.93,477309.0,0.6666666666666666
2014-11-06,39.9,39.9,39.9,39.9,39.9,481931.0,0.6666666666666666
2014-11-10,39.6,39.6,39.6,39.6,39.6,395.3,0.8333333333333334
2014-11-11,43.48,43.48,43.48,43.48,43.48,65405.2,0.6666666666666666
2014-11-12,42.0,42.0,42.0,42.0,42.0,43267.6,0.6666666666666666
2014-11-13,44.88,44.88,44.88,44.88,44.88,24734.0,0.5
