Date,Open,High,Low,Close,Adj Close,Volume,reward
2014/5/15,67.8,69.5,67.8,69.5,69.5,556.0,1.0
2014/5/16,69.5,71.2,69.5,71.2,71.2,498.4,0.8333333333333334
2014/5/19,71.2,74.6,71.2,74.6,74.6,373.0,0.5
2014/5/20,74.6,77.0,74.6,77.0,77.0,308.0,0.16666666666666666
2014/5/21,77.0,74.7,77.0,74.7,74.7,373.5,0.16666666666666666
2014/5/22,74.7,73.0,74.7,73.0,73.0,365.0,0.16666666666666666
2014/5/28,70.02,63.02,70.02,63.02,63.02,441.14,0.8333333333333334
2014/5/29,63.02,65.18,63.02,65.18,65.18,325.9,0.5
2014/5/30,65.18,61.18,65.18,61.18,61.18,305.9,1.0
2014/6/3,61.18,63.5,61.18,63.5,63.5,381.0,0.75
2014/6/5,63.5,68.6,63.5,66.38,60.0,11284000.0,0.5
2014/6/6,66.33,68.5,66.33,68.5,60.0,5400480.0,0.16666666666666666
2014/6/9,68.5,62.5,68.5,62.5,62.5,375.0,0.8333333333333334
2014/6/10,62.5,63.5,62.5,63.5,63.5,10356000.0,0.5
2014/6/11,63.5,65.16,63.5,65.16,65.16,456.12,0.3333333333333333
2014/6/13,65.16,66.82,65.16,66.82,66.82,334.1,0.16666666666666666
2014/6/16,66.82,64.9,66.82,63.32,63.31,949.78,0.5
2014/6/17,63.32,62.3,63.32,60.28,60.28,3978.8,0.8333333333333334
2014/6/18,60.28,64.68,60.28,60.22,60.22,60523.4,1.0
2014/6/19,60.22,63.0,60.22,63.0,63.0,378.0,1.0
2014/6/20,63.0,63.51,63.0,63.51,63.51,317.55,1.0
2014/6/23,63.51,65.35,63.51,65.35,65.35,261.4,0.8333333333333334
2014/6/24,65.35,67.52,65.35,67.52,67.52,337.6,0.6666666666666666
2014/6/25,67.52,68.66,67.52,68.66,68.66,343.3,0.3333333333333333
2014/6/26,68.66,71.0,68.66,71.0,71.0,284.0,0.16666666666666666
2014/6/27,71.0,72.0,71.0,68.0,68.0,408.0,0.16666666666666666
2014/6/30,68.0,64.43,68.0,62.41,62.41,499.29,0.3333333333333333
2014/7/1,62.41,68.65,62.41,58.0,58.0,161019.0,0.8333333333333334
2014/7/2,58.0,60.0,58.0,59.54,59.54,242726.0,0.6666666666666666
2014/7/3,59.54,65.2,59.54,61.58,61.58,246.3,0.3333333333333333
2014/7/4,61.58,67.73,61.58,67.68,59.13,5558.47,0.16666666666666666
2014/7/7,67.68,60.91,67.68,60.91,60.91,121.82,0.16666666666666666
2014/7/8,60.91,60.05,60.91,57.88,57.88,4197720.0,0.16666666666666666
2014/7/9,57.88,60.0,57.88,55.0,60.0,2570230.0,0.16666666666666666
2014/7/10,55.0,60.0,55.0,50.6,59.56,2654440.0,0.16666666666666666
2014/7/11,50.6,55.0,50.6,46.5,50.51,5258880.0,0.3333333333333333
