Date,Open,High,Low,Close,Adj Close,Volume,reward
2013-12-19,29.0,29.45,29.0,30.0,29.42,32660.0,0.25
2013-12-20,29.0,29.9,29.0,30.0,30.0,28060.0,0.16666666666666666
2013-12-23,29.8,29.8,29.8,29.9,29.9,5960.0,0.16666666666666666
2013-12-24,29.8,29.8,29.8,29.8,29.8,2980.0,0.4166666666666667
2013-12-25,29.8,29.8,29.8,29.8,29.8,2980.0,0.3333333333333333
2013-12-26,29.8,29.8,29.8,29.8,29.8,5960.0,0.3333333333333333
2013-12-27,29.7,29.7,29.7,29.7,29.7,5940.0,0.75
2013-12-30,29.7,29.7,29.7,29.7,29.7,5940.0,0.6666666666666666
2013-12-31,29.8,29.8,29.8,29.8,29.8,5960.0,0.3333333333333333
2014-01-02,29.7,29.7,29.7,29.7,29.7,5940.0,0.6666666666666666
2014-01-03,29.8,29.8,29.8,29.8,29.8,2980.0,0.4166666666666667
2014-01-06,29.7,29.7,29.7,29.7,29.7,5940.0,0.75
2014-01-07,29.6,29.6,29.6,29.6,29.6,8914.0,1.0
2014-01-08,29.5,29.8,29.5,29.8,29.66,6526.0,0.6666666666666666
2014-01-09,29.7,29.7,29.7,29.7,29.7,4455.0,1.0
2014-01-10,29.7,29.9,29.7,29.9,29.8,8940.0,0.5833333333333334
2014-01-13,29.6,29.8,29.6,29.72,29.72,8916.0,1.0
2014-01-14,29.8,29.9,29.8,29.9,29.83,8354.0,0.8333333333333334
2014-01-15,29.9,29.9,29.9,29.9,29.9,5980.0,0.9166666666666666
2014-01-16,29.9,29.9,29.9,29.9,29.9,6578.0,1.0
2014-01-17,30.0,32.5,30.0,32.5,31.6,41080.0,0.5
2014-01-20,31.0,32.0,31.0,32.0,31.5,6300.0,0.9166666666666666
2014-01-21,32.5,32.5,32.5,32.5,32.5,5850.0,0.75
2014-01-22,32.5,32.5,32.5,32.5,32.5,6500.0,0.8333333333333334
2014-01-23,32.0,32.0,32.0,32.0,32.0,6400.0,1.0
2014-01-24,33.0,33.0,33.0,33.0,33.0,6600.0,0.75
2014-01-27,33.0,33.0,33.0,33.0,33.0,6600.0,0.8333333333333334
2014-01-28,33.0,33.0,33.0,33.0,33.0,6600.0,0.9166666666666666
2014-01-29,33.0,33.0,33.0,33.0,33.0,16500.0,1.0
2014-02-07,33.5,33.5,33.5,33.5,33.5,17050.0,1.0
2014-02-10,34.5,34.5,34.5,34.5,34.5,17250.0,0.9166666666666666
2014-02-11,34.5,34.5,34.5,34.5,34.5,17250.0,1.0
2014-02-12,35.0,35.0,35.0,35.0,35.0,17500.0,1.0
2014-02-13,34.5,37.0,34.5,35.1,35.1,720850.0,1.0
2014-02-14,35.5,35.5,35.5,35.5,35.5,28400.0,1.0
2014-02-17,35.7,37.0,35.7,37.0,37.0,126250.0,1.0
2014-02-18,37.5,38.0,37.5,38.0,37.6,188000.0,0.8333333333333334
2014-02-19,38.3,43.0,38.3,42.4,40.2,361210.0,0.5
2014-02-20,40.0,40.0,40.0,43.8,42.5,255250.0,0.3333333333333333
2014-02-21,44.2,46.0,44.2,44.9,45.4,225102.0,0.16666666666666666
2014-02-24,40.0,41.0,40.0,40.3,40.3,60500.0,0.3333333333333333
2014-02-25,37.5,40.0,37.5,37.5,37.5,60400.0,0.8333333333333334
2014-02-26,40.0,40.0,40.0,40.0,40.0,200000.0,0.6666666666666666
2014-02-28,40.8,40.8,40.8,40.8,40.8,40800.0,0.16666666666666666
2014-03-03,37.0,37.1,37.0,37.1,37.1,1012700.0,1.0
2014-03-05,40.0,40.5,40.0,40.1,40.08,280600.0,0.3333333333333333
2014-03-06,40.0,40.5,40.0,40.3,40.25,161000.0,0.16666666666666666
2014-03-10,39.5,39.5,39.5,39.5,39.5,39500.0,1.0
2014-03-11,39.6,41.0,39.6,39.7,39.73,119610.0,0.8333333333333334
2014-03-12,39.6,40.0,39.6,39.8,39.8,79600.0,0.75
2014-03-13,40.0,40.0,40.0,40.0,40.0,80000.0,0.4166666666666667
2014-03-14,40.0,40.0,40.0,40.0,40.0,40000.0,0.5
2014-03-17,40.0,40.0,40.0,40.0,40.0,115920.0,0.5833333333333334
2014-03-18,39.0,39.0,39.0,39.0,39.0,39000.0,1.0
2014-03-19,39.6,40.0,39.6,39.8,39.8,79600.0,1.0
2014-03-20,39.8,40.0,39.8,40.0,39.82,1792000.0,0.8333333333333334
2014-03-21,40.8,41.0,40.8,40.4,40.41,303100.0,0.3333333333333333
2014-03-24,40.5,40.5,40.5,40.5,40.5,8100.0,0.16666666666666666
2014-03-25,40.0,40.0,40.0,40.0,40.0,80000.0,0.5
2014-03-27,40.0,40.2,40.0,40.1,40.07,52100.0,0.16666666666666666
2014-03-28,40.0,40.0,40.0,40.0,40.0,140000.0,0.25
2014-03-31,40.0,40.0,40.0,40.0,40.0,23800.0,0.16666666666666666
2014-04-01,39.5,39.5,39.5,39.5,39.5,15800.0,0.16666666666666666
2014-04-02,38.0,39.0,38.0,38.5,38.5,77000.0,1.0
2014-04-03,39.0,39.5,39.0,39.2,39.16,133150.0,0.5833333333333334
2014-04-04,39.0,39.5,39.0,39.4,39.37,157500.0,0.3333333333333333
2014-04-08,39.5,39.5,39.5,39.3,39.33,118000.0,0.3333333333333333
2014-04-09,38.6,39.0,38.6,38.9,38.9,155600.0,0.6666666666666666
2014-04-10,39.0,39.0,39.0,39.0,38.95,140240.0,0.5833333333333334
2014-04-14,39.2,39.2,39.2,39.2,39.2,78400.0,0.5
2014-04-15,40.2,40.2,40.2,40.1,40.05,480600.0,0.16666666666666666
2014-04-18,36.0,36.0,36.0,36.0,36.0,7200.0,1.0
2014-04-21,38.0,38.0,38.0,38.0,38.0,247000.0,1.0
2014-04-22,39.0,39.0,39.0,39.0,39.0,78000.0,1.0
2014-04-23,39.5,39.5,39.5,39.5,39.5,86900.0,0.5
2014-04-24,39.5,39.5,39.5,39.5,39.5,243800.0,0.4166666666666667
2014-04-25,39.5,39.5,39.5,39.5,39.45,122300.0,0.3333333333333333
2014-04-28,39.4,39.4,39.4,39.4,39.4,118200.0,0.3333333333333333
2014-04-29,39.5,39.8,39.5,39.6,39.62,241700.0,0.16666666666666666
2014-04-30,39.5,39.5,39.5,39.1,39.06,234400.0,0.16666666666666666
2014-05-06,38.8,38.8,38.8,38.8,38.8,271600.0,1.0
2014-05-08,39.0,39.0,39.0,39.0,39.0,780.0,0.5833333333333334
2014-05-09,39.0,39.0,39.0,39.0,39.0,78000.0,0.6666666666666666
2014-05-12,39.0,39.0,39.0,38.9,38.9,77800.0,0.9166666666666666
2014-05-13,38.9,38.9,38.9,38.9,38.86,194300.0,0.8333333333333334
2014-05-14,39.8,39.8,39.8,39.8,39.75,1669990.0,0.16666666666666666
2014-05-16,39.2,39.2,39.2,39.2,39.2,117600.0,0.6666666666666666
