Date,Open,High,Low,Close,Adj Close,Volume
2013-12-19,29,29.45,29,30,29.42,32660
2013-12-20,29,29.9,29,30,30,28060
2013-12-23,29.8,29.8,29.8,29.9,29.9,5960
2013-12-24,29.8,29.8,29.8,29.8,29.8,2980
2013-12-25,29.8,29.8,29.8,29.8,29.8,2980
2013-12-26,29.8,29.8,29.8,29.8,29.8,5960
2013-12-27,29.7,29.7,29.7,29.7,29.7,5940
2013-12-30,29.7,29.7,29.7,29.7,29.7,5940
2013-12-31,29.8,29.8,29.8,29.8,29.8,5960
2014-01-02,29.7,29.7,29.7,29.7,29.7,5940
2014-01-03,29.8,29.8,29.8,29.8,29.8,2980
2014-01-06,29.7,29.7,29.7,29.7,29.7,5940
2014-01-07,29.6,29.6,29.6,29.6,29.6,8914
2014-01-08,29.5,29.8,29.5,29.8,29.66,6526
2014-01-09,29.7,29.7,29.7,29.7,29.7,4455
2014-01-10,29.7,29.9,29.7,29.9,29.8,8940
2014-01-13,29.6,29.8,29.6,29.72,29.72,8916
2014-01-14,29.8,29.9,29.8,29.9,29.83,8354
2014-01-15,29.9,29.9,29.9,29.9,29.9,5980
2014-01-16,29.9,29.9,29.9,29.9,29.9,6578
2014-01-17,30,32.5,30,32.5,31.6,41080
2014-01-20,31,32,31,32,31.5,6300
2014-01-21,32.5,32.5,32.5,32.5,32.5,5850
2014-01-22,32.5,32.5,32.5,32.5,32.5,6500
2014-01-23,32,32,32,32,32,6400
2014-01-24,33,33,33,33,33,6600
2014-01-27,33,33,33,33,33,6600
2014-01-28,33,33,33,33,33,6600
2014-01-29,33,33,33,33,33,16500
2014-02-07,33.5,33.5,33.5,33.5,33.5,17050
2014-02-10,34.5,34.5,34.5,34.5,34.5,17250
2014-02-11,34.5,34.5,34.5,34.5,34.5,17250
2014-02-12,35,35,35,35,35,17500
2014-02-13,34.5,37,34.5,35.1,35.1,720850
2014-02-14,35.5,35.5,35.5,35.5,35.5,28400
2014-02-17,35.7,37,35.7,37,37,126250
2014-02-18,37.5,38,37.5,38,37.6,188000
2014-02-19,38.3,43,38.3,42.4,40.2,361210
2014-02-20,40,40,40,43.8,42.5,255250
2014-02-21,44.2,46,44.2,44.9,45.4,225102
2014-02-24,40,41,40,40.3,40.3,60500
2014-02-25,37.5,40,37.5,37.5,37.5,60400
2014-02-26,40,40,40,40,40,200000
2014-02-28,40.8,40.8,40.8,40.8,40.8,40800
2014-03-03,37,37.1,37,37.1,37.1,1012700
2014-03-05,40,40.5,40,40.1,40.08,280600
2014-03-06,40,40.5,40,40.3,40.25,161000
2014-03-10,39.5,39.5,39.5,39.5,39.5,39500
2014-03-11,39.6,41,39.6,39.7,39.73,119610
2014-03-12,39.6,40,39.6,39.8,39.8,79600
2014-03-13,40,40,40,40,40,80000
2014-03-14,40,40,40,40,40,40000
2014-03-17,40,40,40,40,40,115920
2014-03-18,39,39,39,39,39,39000
2014-03-19,39.6,40,39.6,39.8,39.8,79600
2014-03-20,39.8,40,39.8,40,39.82,1792000
2014-03-21,40.8,41,40.8,40.4,40.41,303100
2014-03-24,40.5,40.5,40.5,40.5,40.5,8100
2014-03-25,40,40,40,40,40,80000
2014-03-27,40,40.2,40,40.1,40.07,52100
2014-03-28,40,40,40,40,40,140000
2014-03-31,40,40,40,40,40,23800
2014-04-01,39.5,39.5,39.5,39.5,39.5,15800
2014-04-02,38,39,38,38.5,38.5,77000
2014-04-03,39,39.5,39,39.2,39.16,133150
2014-04-04,39,39.5,39,39.4,39.37,157500
2014-04-08,39.5,39.5,39.5,39.3,39.33,118000
2014-04-09,38.6,39,38.6,38.9,38.9,155600
2014-04-10,39,39,39,39,38.95,140240
2014-04-14,39.2,39.2,39.2,39.2,39.2,78400
2014-04-15,40.2,40.2,40.2,40.1,40.05,480600
2014-04-18,36,36,36,36,36,7200
2014-04-21,38,38,38,38,38,247000
2014-04-22,39,39,39,39,39,78000
2014-04-23,39.5,39.5,39.5,39.5,39.5,86900
2014-04-24,39.5,39.5,39.5,39.5,39.5,243800
2014-04-25,39.5,39.5,39.5,39.5,39.45,122300
2014-04-28,39.4,39.4,39.4,39.4,39.4,118200
2014-04-29,39.5,39.8,39.5,39.6,39.62,241700
2014-04-30,39.5,39.5,39.5,39.1,39.06,234400
2014-05-06,38.8,38.8,38.8,38.8,38.8,271600
2014-05-08,39,39,39,39,39,780
2014-05-09,39,39,39,39,39,78000
2014-05-12,39,39,39,38.9,38.9,77800
2014-05-13,38.9,38.9,38.9,38.9,38.86,194300
2014-05-14,39.8,39.8,39.8,39.8,39.75,1669990
2014-05-16,39.2,39.2,39.2,39.2,39.2,117600
2014-05-19,39.3,39.5,39.3,39.4,39.38,196900
2014-05-20,39.5,39.5,39.5,39.5,39.5,118500
2014-05-22,38.5,38.9,38.5,35,38.17,865118
2014-05-23,38.5,39.5,38.5,39.5,38.54,424000
2014-05-26,38,38,38,38.1,38.08,1599500
2014-05-28,38.8,39,38.8,38.9,38.88,194400
2014-05-29,38.5,38.5,38.5,38.5,38.5,308000
2014-05-30,38.5,38.6,38.5,38.5,38.51,272180
2014-06-03,38.5,38.5,38.5,38.5,38.5,38500
2014-06-04,28,28,28,28,28,84000
2014-06-05,39.5,39.5,39.5,39.5,39.5,169850
2014-06-06,39.5,39.7,39.5,39.6,39.64,289489
2014-06-09,40,40,40,40,40,23320
2014-06-10,40,40,40,40,40,196680
2014-06-11,40,40,40,40,40,63160
2014-06-12,40,40.1,40,40,40,7960200
2014-06-13,40,40.5,40,40.1,40.14,137858
2014-06-16,40.3,41,40.3,40.5,40.6,546607
2014-06-17,41,42,41,41,41,549800
2014-06-18,41,43,41,41,41,2497370
2014-06-19,41,43,41,42.8,42.8,4030690
2014-06-20,43,44,43,43,43.03,819992
2014-06-23,39.3,42,39.3,41,40.85,8336590
2014-06-24,41,41,41,39.6,39.72,333549
2014-06-25,40,40,40,39.1,39.1,5402200
2014-06-26,39.5,39.5,39.5,38.9,39.1,457708
2014-06-27,40,40,40,39,39.41,150653
2014-06-30,48,48,48,48,48,346560
2014-09-04,29,29,29,29,29,145000
2014-09-22,30.9,31.5,30.9,31.4,31.4,62800
2014-09-23,32.1,32.1,32.1,32,32,48050
2014-09-24,33,33,33,33,33,33000
2014-09-25,33.8,34.1,33.8,34,34,67900
2014-09-26,34.2,34.9,34.2,34.4,34.36,120250
2014-09-29,34.5,34.9,34.5,34.7,34.72,152760
2014-09-30,34.9,34.9,34.9,34.9,34.9,104700
2014-10-08,35,35,35,35,35,70000
2014-10-09,35.1,35.1,35.1,35.1,35.1,17550
2014-10-13,35.5,35.5,35.5,35.5,35.5,53250
2014-10-14,35.5,35.5,35.5,35.5,35.5,141800
2014-10-15,35.3,35.3,35.3,35.3,35.3,70600
2014-10-16,35.5,35.5,35.5,35.5,35.5,71000
2014-10-17,35.5,35.8,35.5,35.7,35.5,142600
2014-10-20,35.8,35.8,35.8,35.8,35.8,71600
2014-10-21,35.8,35.8,35.8,35.8,35.8,71600
2014-10-22,35.8,35.8,35.8,35.8,35.8,71600
2014-10-24,35.8,35.8,35.8,35.8,35.8,35800
2014-10-27,35.8,35.8,35.8,35.8,35.8,71600
2014-10-28,35.8,35.8,35.8,35.8,35.8,71600
2014-10-29,35.8,35.8,35.8,35.8,35.8,35800
2014-10-30,35.8,35.8,35.8,35.8,35.8,107400
2014-10-31,35.6,35.6,35.6,35.6,35.6,3560
2014-11-03,35.8,35.8,35.8,35.8,35.8,372600
2014-11-04,35.8,35.8,35.8,35.8,35.8,107400
2014-11-05,35.8,35.8,35.8,35.8,35.8,107400
2014-11-07,35.8,35.8,35.8,35.8,35.8,107400
2014-11-10,35.8,35.8,35.8,35.8,35.8,107400
2014-11-11,35.5,35.5,35.5,35.5,35.5,35500
