Date,Open,High,Low,Close,Adj Close,Volume,Open_1,High_1,Low_1,Close_1,Adj Close_1,Volume_1,Year,Month,Weekday,Open_rolling_mean,High_rolling_mean,Low_rolling_mean,Close_rolling_mean,Adj Close_rolling_mean,Volume_rolling_mean
2013-12-19,29.0,29.45,29.0,30.0,29.42,32660.0,,,,,,,2013,12,3,,,,,,
2013-12-20,29.0,29.9,29.0,30.0,30.0,28060.0,29.0,29.45,29.0,30.0,29.42,32660.0,2013,12,4,,,,,,
2013-12-23,29.8,29.8,29.8,29.9,29.9,5960.0,29.0,29.9,29.0,30.0,30.0,28060.0,2013,12,0,,,,,,
2013-12-24,29.8,29.8,29.8,29.8,29.8,2980.0,29.8,29.8,29.8,29.9,29.9,5960.0,2013,12,1,,,,,,
2013-12-25,29.8,29.8,29.8,29.8,29.8,2980.0,29.8,29.8,29.8,29.8,29.8,2980.0,2013,12,2,29.48,29.75,29.48,29.9,29.784000000000002,14528.0
2013-12-26,29.8,29.8,29.8,29.8,29.8,5960.0,29.8,29.8,29.8,29.8,29.8,2980.0,2013,12,3,29.639999999999997,29.82,29.639999999999997,29.860000000000003,29.860000000000003,9188.0
2013-12-27,29.7,29.7,29.7,29.7,29.7,5940.0,29.8,29.8,29.8,29.8,29.8,5960.0,2013,12,4,29.78,29.78,29.78,29.8,29.8,4764.0
2013-12-30,29.7,29.7,29.7,29.7,29.7,5940.0,29.7,29.7,29.7,29.7,29.7,5940.0,2013,12,0,29.76,29.759999999999998,29.76,29.759999999999998,29.759999999999998,4760.0
2013-12-31,29.8,29.8,29.8,29.8,29.8,5960.0,29.7,29.7,29.7,29.7,29.7,5940.0,2013,12,1,29.759999999999998,29.76,29.759999999999998,29.76,29.76,5356.0
2014-01-02,29.7,29.7,29.7,29.7,29.7,5940.0,29.8,29.8,29.8,29.8,29.8,5960.0,2014,1,3,29.74,29.74,29.74,29.74,29.74,5948.0
2014-01-03,29.8,29.8,29.8,29.8,29.8,2980.0,29.7,29.7,29.7,29.7,29.7,5940.0,2014,1,4,29.74,29.74,29.74,29.74,29.74,5352.0
2014-01-06,29.7,29.7,29.7,29.7,29.7,5940.0,29.8,29.8,29.8,29.8,29.8,2980.0,2014,1,0,29.74,29.74,29.74,29.74,29.74,5352.0
2014-01-07,29.6,29.6,29.6,29.6,29.6,8914.0,29.7,29.7,29.7,29.7,29.7,5940.0,2014,1,1,29.720000000000006,29.72,29.720000000000006,29.72,29.72,5946.8
2014-01-08,29.5,29.8,29.5,29.8,29.66,6526.0,29.6,29.6,29.6,29.6,29.6,8914.0,2014,1,2,29.660000000000004,29.72,29.660000000000004,29.72,29.692,6060.0
2014-01-09,29.7,29.7,29.7,29.7,29.7,4455.0,29.5,29.8,29.5,29.8,29.66,6526.0,2014,1,3,29.660000000000004,29.72,29.660000000000004,29.72,29.692,5763.0
2014-01-10,29.7,29.9,29.7,29.9,29.8,8940.0,29.7,29.7,29.7,29.7,29.7,4455.0,2014,1,4,29.639999999999997,29.74,29.639999999999997,29.74,29.692,6955.0
2014-01-13,29.6,29.8,29.6,29.72,29.72,8916.0,29.7,29.9,29.7,29.9,29.8,8940.0,2014,1,0,29.620000000000005,29.76,29.620000000000005,29.744,29.695999999999998,7550.2
2014-01-14,29.8,29.9,29.8,29.9,29.83,8354.0,29.6,29.8,29.6,29.72,29.72,8916.0,2014,1,1,29.660000000000004,29.82,29.660000000000004,29.804000000000002,29.742,7438.2
2014-01-15,29.9,29.9,29.9,29.9,29.9,5980.0,29.8,29.9,29.8,29.9,29.83,8354.0,2014,1,2,29.74,29.839999999999996,29.74,29.823999999999995,29.79,7329.0
2014-01-16,29.9,29.9,29.9,29.9,29.9,6578.0,29.9,29.9,29.9,29.9,29.9,5980.0,2014,1,3,29.78,29.880000000000003,29.78,29.863999999999997,29.830000000000002,7753.6
2014-01-17,30.0,32.5,30.0,32.5,31.6,41080.0,29.9,29.9,29.9,29.9,29.9,6578.0,2014,1,4,29.840000000000003,30.4,29.840000000000003,30.383999999999997,30.189999999999998,14181.6
2014-01-20,31.0,32.0,31.0,32.0,31.5,6300.0,30.0,32.5,30.0,32.5,31.6,41080.0,2014,1,0,30.119999999999997,30.839999999999996,30.119999999999997,30.839999999999996,30.546,13658.4
2014-01-21,32.5,32.5,32.5,32.5,32.5,5850.0,31.0,32.0,31.0,32.0,31.5,6300.0,2014,1,1,30.660000000000004,31.359999999999996,30.660000000000004,31.360000000000003,31.080000000000002,13157.6
2014-01-22,32.5,32.5,32.5,32.5,32.5,6500.0,32.5,32.5,32.5,32.5,32.5,5850.0,2014,1,2,31.179999999999996,31.880000000000003,31.179999999999996,31.879999999999995,31.6,13261.6
2014-01-23,32.0,32.0,32.0,32.0,32.0,6400.0,32.5,32.5,32.5,32.5,32.5,6500.0,2014,1,3,31.6,32.3,31.6,32.3,32.019999999999996,13226.0
2014-01-24,33.0,33.0,33.0,33.0,33.0,6600.0,32.0,32.0,32.0,32.0,32.0,6400.0,2014,1,4,32.2,32.4,32.2,32.4,32.3,6330.0
2014-01-27,33.0,33.0,33.0,33.0,33.0,6600.0,33.0,33.0,33.0,33.0,33.0,6600.0,2014,1,0,32.6,32.6,32.6,32.6,32.6,6390.0
2014-01-28,33.0,33.0,33.0,33.0,33.0,6600.0,33.0,33.0,33.0,33.0,33.0,6600.0,2014,1,1,32.7,32.7,32.7,32.7,32.7,6540.0
2014-01-29,33.0,33.0,33.0,33.0,33.0,16500.0,33.0,33.0,33.0,33.0,33.0,6600.0,2014,1,2,32.8,32.8,32.8,32.8,32.8,8540.0
2014-02-07,33.5,33.5,33.5,33.5,33.5,17050.0,33.0,33.0,33.0,33.0,33.0,16500.0,2014,2,4,33.1,33.1,33.1,33.1,33.1,10670.0
2014-02-10,34.5,34.5,34.5,34.5,34.5,17250.0,33.5,33.5,33.5,33.5,33.5,17050.0,2014,2,0,33.4,33.4,33.4,33.4,33.4,12800.0
2014-02-11,34.5,34.5,34.5,34.5,34.5,17250.0,34.5,34.5,34.5,34.5,34.5,17250.0,2014,2,1,33.7,33.7,33.7,33.7,33.7,14930.0
2014-02-12,35.0,35.0,35.0,35.0,35.0,17500.0,34.5,34.5,34.5,34.5,34.5,17250.0,2014,2,2,34.1,34.1,34.1,34.1,34.1,17110.0
2014-02-13,34.5,37.0,34.5,35.1,35.1,720850.0,35.0,35.0,35.0,35.0,35.0,17500.0,2014,2,3,34.4,34.9,34.4,34.519999999999996,34.519999999999996,157980.0
2014-02-14,35.5,35.5,35.5,35.5,35.5,28400.0,34.5,37.0,34.5,35.1,35.1,720850.0,2014,2,4,34.8,35.3,34.8,34.92,34.92,160250.0
2014-02-17,35.7,37.0,35.7,37.0,37.0,126250.0,35.5,35.5,35.5,35.5,35.5,28400.0,2014,2,0,35.04,35.8,35.04,35.42,35.42,182050.0
2014-02-18,37.5,38.0,37.5,38.0,37.6,188000.0,35.7,37.0,35.7,37.0,37.0,126250.0,2014,2,1,35.64,36.5,35.64,36.120000000000005,36.04,216200.0
2014-02-19,38.3,43.0,38.3,42.4,40.2,361210.0,37.5,38.0,37.5,38.0,37.6,188000.0,2014,2,2,36.3,38.1,36.3,37.6,37.08,284942.0
2014-02-20,40.0,40.0,40.0,43.8,42.5,255250.0,38.3,43.0,38.3,42.4,40.2,361210.0,2014,2,3,37.4,38.7,37.4,39.339999999999996,38.56,191822.0
2014-02-21,44.2,46.0,44.2,44.9,45.4,225102.0,40.0,40.0,40.0,43.8,42.5,255250.0,2014,2,4,39.14,40.8,39.14,41.22,40.540000000000006,231162.4
2014-02-24,40.0,41.0,40.0,40.3,40.3,60500.0,44.2,46.0,44.2,44.9,45.4,225102.0,2014,2,0,40.0,41.6,40.0,41.879999999999995,41.2,218012.4
2014-02-25,37.5,40.0,37.5,37.5,37.5,60400.0,40.0,41.0,40.0,40.3,40.3,60500.0,2014,2,1,40.0,42.0,40.0,41.779999999999994,41.17999999999999,192492.4
2014-02-26,40.0,40.0,40.0,40.0,40.0,200000.0,37.5,40.0,37.5,37.5,37.5,60400.0,2014,2,2,40.339999999999996,41.4,40.339999999999996,41.3,41.14,160250.4
2014-02-28,40.8,40.8,40.8,40.8,40.8,40800.0,40.0,40.0,40.0,40.0,40.0,200000.0,2014,2,4,40.5,41.559999999999995,40.5,40.7,40.8,117360.4
2014-03-03,37.0,37.1,37.0,37.1,37.1,1012700.0,40.8,40.8,40.8,40.8,40.8,40800.0,2014,3,0,39.06,39.779999999999994,39.06,39.14,39.14,274880.0
2014-03-05,40.0,40.5,40.0,40.1,40.08,280600.0,37.0,37.1,37.0,37.1,37.1,1012700.0,2014,3,2,39.06,39.67999999999999,39.06,39.1,39.096000000000004,318900.0
2014-03-06,40.0,40.5,40.0,40.3,40.25,161000.0,40.0,40.5,40.0,40.1,40.08,280600.0,2014,3,3,39.56,39.779999999999994,39.56,39.660000000000004,39.646,339020.0
2014-03-10,39.5,39.5,39.5,39.5,39.5,39500.0,40.0,40.5,40.0,40.3,40.25,161000.0,2014,3,0,39.46,39.67999999999999,39.46,39.56,39.54600000000001,306920.0
2014-03-11,39.6,41.0,39.6,39.7,39.73,119610.0,39.5,39.5,39.5,39.5,39.5,39500.0,2014,3,1,39.22,39.720000000000006,39.22,39.339999999999996,39.332,322682.0
2014-03-12,39.6,40.0,39.6,39.8,39.8,79600.0,39.6,41.0,39.6,39.7,39.73,119610.0,2014,3,2,39.739999999999995,40.3,39.739999999999995,39.88,39.872,136062.0
2014-03-13,40.0,40.0,40.0,40.0,40.0,80000.0,39.6,40.0,39.6,39.8,39.8,79600.0,2014,3,3,39.739999999999995,40.2,39.739999999999995,39.86,39.855999999999995,95942.0
2014-03-14,40.0,40.0,40.0,40.0,40.0,40000.0,40.0,40.0,40.0,40.0,40.0,80000.0,2014,3,4,39.739999999999995,40.1,39.739999999999995,39.8,39.806,71742.0
2014-03-17,40.0,40.0,40.0,40.0,40.0,115920.0,40.0,40.0,40.0,40.0,40.0,40000.0,2014,3,0,39.839999999999996,40.2,39.839999999999996,39.9,39.90599999999999,87026.0
